,day,from_count,month,year
232,21,300113,8,2023
233,22,302767,8,2023
234,23,312283,8,2023
235,24,319332,8,2023
236,25,298992,8,2023
237,26,348928,8,2023
238,27,304215,8,2023
239,28,276490,8,2023
240,29,302494,8,2023
241,30,335216,8,2023
242,31,312663,8,2023
243,1,333691,9,2023
244,2,396583,9,2023
245,3,414308,9,2023
246,4,289165,9,2023
247,5,317522,9,2023
248,6,354656,9,2023
249,7,324584,9,2023
250,8,319090,9,2023
251,9,299890,9,2023
252,10,272349,9,2023
253,11,358166,9,2023
254,12,440226,9,2023
255,13,1028670,9,2023
256,14,378361,9,2023
257,15,321523,9,2023
258,16,304271,9,2023
259,17,290900,9,2023
260,18,313767,9,2023
261,19,321036,9,2023
262,20,326351,9,2023
263,21,464335,9,2023
264,22,326609,9,2023
265,23,301568,9,2023
266,24,293834,9,2023
267,25,314950,9,2023
268,26,336186,9,2023
269,27,336147,9,2023
270,28,347811,9,2023
271,29,345016,9,2023
272,30,316710,9,2023
273,1,299096,10,2023
274,2,303471,10,2023
275,3,313334,10,2023
276,4,320517,10,2023
277,5,311248,10,2023
278,6,332471,10,2023
279,7,343897,10,2023
280,8,298756,10,2023
281,9,315951,10,2023
282,10,316035,10,2023
283,11,334039,10,2023
284,12,327154,10,2023
285,13,321346,10,2023
286,14,289150,10,2023
287,15,308680,10,2023
288,16,326323,10,2023
289,17,322095,10,2023
290,18,312316,10,2023
291,19,299288,10,2023
292,20,356382,10,2023
293,21,307764,10,2023
294,22,309947,10,2023
295,23,324971,10,2023
296,24,340699,10,2023
297,25,325278,10,2023
298,26,335131,10,2023
299,27,312510,10,2023
300,28,306380,10,2023
301,29,311112,10,2023
302,30,327744,10,2023
303,31,323331,10,2023
304,1,326007,11,2023
305,2,317616,11,2023
306,3,329762,11,2023
307,4,294908,11,2023
308,5,297466,11,2023
309,6,313513,11,2023
310,7,321850,11,2023
311,8,315016,11,2023
312,9,352712,11,2023
313,10,369842,11,2023
314,11,329418,11,2023
315,12,309539,11,2023
316,13,296892,11,2023
317,14,297588,11,2023
318,15,313154,11,2023
319,16,324835,11,2023
320,17,315701,11,2023
321,18,300653,11,2023
322,19,301593,11,2023
323,20,360564,11,2023
324,21,336700,11,2023
325,22,346243,11,2023
326,23,344315,11,2023
327,24,334475,11,2023
328,25,307577,11,2023
329,26,298817,11,2023
330,27,302063,11,2023
331,28,312553,11,2023
332,29,316119,11,2023
333,30,321097,11,2023
334,1,337368,12,2023
335,2,317130,12,2023
336,3,319671,12,2023
337,4,362495,12,2023
338,5,348762,12,2023
339,6,344416,12,2023
340,7,370082,12,2023
341,8,280800,12,2023
